Unnamed: 0,Load,node,demand_avg,demand_ref,flex_fraction,flex_on_off,flex_basevalue,flex_storage,flex_storval_filling,flex_storval_time,flex_storagelevel_init,Unnamed: 12,Unnamed: 13,Unnamed: 14,status
0,DK1_3,DK1_3,796.7920326,load_DK1,0,0,0,0,,,0.5,,,,updated
1,DK1_1,DK1_1,960.7610331,load_DK1,0,0,0,0,,,0.5,,,,updated
2,DK1_2,DK1_2,812.2289421,load_DK1,0,0,0,0,,,0.5,,,,updated
3,DK2_2,DK2_2,1407.751812,load_DK2,0,0,0,0,,,0.5,,,,updated
4,DK2_1,DK2_1,207.8680797,load_DK2,0,0,0,0,,,0.5,,,,updated
5,FI_12,FI_12,670.8406112,load_FI,0,0,0,0,,,0.5,,,,updated
6,FI_3,FI_3,179.9560524,load_FI,0,0,0,0,,,0.5,,,,updated
7,FI_7,FI_7,652.2906054,load_FI,0,0,0,0,,,0.5,,,,updated
8,FI_1,FI_1,565.7617854,load_FI,0,0,0,0,,,0.5,,,,updated
9,FI_8,FI_8,601.9545142,load_FI,0,0,0,0,,,0.5,,,,updated
10,FI_6,FI_6,693.4434506,load_FI,0,0,0,0,,,0.5,,,,updated
11,FI_9,FI_9,459.0794061,load_FI,0,0,0,0,,,0.5,,,,updated
12,FI_4,FI_4,864.8737781,load_FI,0,0,0,0,,,0.5,,,,updated
13,FI_2,FI_2,83.87075281,load_FI,0,0,0,0,,,0.5,,,,updated
14,FI_13,FI_13,1116.784544,load_FI,0,0,0,0,,,0.5,,,,updated
15,FI_10,FI_10,1086.047076,load_FI,0,0,0,0,,,0.5,,,,updated
16,FI_5,FI_5,652.5047773,load_FI,0,0,0,0,,,0.5,,,,updated
17,FI_14,FI_14,981.8109362,load_FI,0,0,0,0,,,0.5,,,,updated
18,FI_11,FI_11,434.0898517,load_FI,0,0,0,0,,,0.5,,,,updated
19,NO3_2,NO3_2,1083.4085431675392,load_NO3,0,0,0,0,,,0.5,,,,updated
20,NO2_1,NO2_1,1645.788429339095,load_NO2,0,0,0,0,,,0.5,,,,updated
21,NO1_4,NO1_4,2778.0610135897214,load_NO1,0,0,0,0,,,0.5,,,,updated
22,NO2_4,NO2_4,940.3676800544484,load_NO2,0,0,0,0,,,0.5,,,,updated
23,NO4_2,NO4_2,566.5673142903465,load_NO4,0,0,0,0,,,0.5,,,,updated
24,NO1_3,NO1_3,1076.745644253334,load_NO1,0,0,0,0,,,0.5,,,,updated
25,NO3_1,NO3_1,1314.317545430177,load_NO3,0,0,0,0,,,0.5,,,,updated
26,NO3_4,NO3_4,917.0108315214408,load_NO3,0,0,0,0,,,0.5,,,,updated
27,NO2_5,NO2_5,1060.9589098120457,load_NO2,0,0,0,0,,,0.5,,,,updated
28,NO1_5,NO1_5,800.639267021547,load_NO1,0,0,0,0,,,0.5,,,,updated
29,NO3_5,NO3_5,625.157649966874,load_NO3,0,0,0,0,,,0.5,,,,updated
30,NO1_1,NO1_1,353.5780185728574,load_NO1,0,0,0,0,,,0.5,,,,updated
31,NO4_1,NO4_1,1801.4452943945512,load_NO4,0,0,0,0,,,0.5,,,,updated
32,NO2_3,NO2_3,1746.2988523000918,load_NO2,0,0,0,0,,,0.5,,,,updated
33,NO5_1,NO5_1,923.7451974856916,load_NO5,0,0,0,0,,,0.5,,,,updated
34,NO4_3,NO4_3,1131.249887310706,load_NO4,0,0,0,0,,,0.5,,,,updated
35,NO2_2,NO2_2,868.1695063122971,load_NO2,0,0,0,0,,,0.5,,,,updated
36,NO3_3,NO3_3,992.0444093347716,load_NO3,0,0,0,0,,,0.5,,,,updated
37,NO5_2,NO5_2,2041.5098057416387,load_NO5,0,0,0,0,,,0.5,,,,updated
38,NO1_2,NO1_2,1077.2284375437443,load_NO1,0,0,0,0,,,0.5,,,,updated
39,SE4_2,SE4_2,1102.511218,load_SE4,0,0,0,0,,,0.5,,,,updated
40,SE2_3,SE2_3,360.3813955,load_SE2,0,0,0,0,,,0.5,,,,updated
41,SE4_1,SE4_1,1388.641503,load_SE4,0,0,0,0,,,0.5,,,,updated
